N,Page,Channel ID,Name,Author,Description,percentage,Tags
49,4,284201,Proyecto IoT 2mnt ap...,malonsorosa,RECOGIDA DE DATOS DE LOS SENSORES DE temperatura y LDR con wemosD1 mini,70,"iot,60et3,ieslafuensanta"
50,4,1061276,Hamster Wheel,mwa0000018515788,What is Paddy up to  when we're not watching?,70,"hamster,raspberry pi"
51,4,3237209,RFID Door Access Demo,mwa0000039765402,"Customized access levels allow only authorized employees to enter sensitive areas, improving security and workflow efficiency, while still offering faster and more convenient access without requiring extensive development or integration, making it a balan",70,"rfid,door access,arduino,security,demo"
52,4,3262504,KONTROL DAN MONITORI...,mwa0000037629377,"Sistem pengatur otomatis kipas angin berbasis ESP32 menggunakan metode Fuzzy Mamdani untuk pengambilan keputusan ON/OFF berdasarkan suhu dan aktivitas jamaah, serta monitoring data secara real-time melalui ThingSpeak.",70,"iot,esp32,fuzzy mamdani"
53,4,3254360,WiFi GRR,mwa0000040260273,USE THE WIFI,70,give me wifi
54,4,1027437,Heating and Hot Water,mwa0000017972110,Relative humidity and temperature,70,"humidity,temperature,wabtub"
55,4,2502187,Octopus Agile,mwa0000023558498,"Agile (South Scotland) cost in pence.
Uploaded by agile2TS on 201",70,"agile octopus,octopus agile,south scotland"
56,4,386505,BatteryPredict24hours,cjstapels,Deep learning Time series prediction data,70,"predict,predict battery,battery"
57,4,460826,GRIN 460826,grin-mpx,BG,70,bg
58,4,3243713,Great Projects,mwa0000040303019,часы Great Projects,70,"temperature,humidity,quality"
59,4,2247490,farmer,mwa0000030854243,farmer,70,"wufai,hydroponics"
60,4,3260717,Sustainx,mwa0000040442357,iot based,70,"sustainability,water pollution"
61,5,3258661,FistxPHT,tikuspithi,Monitor Suhu dan Ph air,70,"ph,temperature,fistx,esp32"
62,5,3260357,arduino,mwa0000040441153,ygyugrerg,70,hsdcuie
63,5,2488471,Monitoreo Humedal #1,cadiazAIoTIcesi,"Proyecto IoT para monitoreo de calidad de agua.
Mide temperatura de agua, turbidez , TDS (ppm) y clima ( humedad y temperatura ambiente).
Envía datos cada intervalo 10 min  mediante red LTE
Desoliegue: bajo consumo, registro de red",70,monitoreo humedal #1
64,5,2019582,Loja - Smart Air Sta...,mwa0000028957378,"Loja, Loja, Ecuador. Estación Meteorológica UNL (Temperatura, Humedad, Presión, Altitud). ESP32, BME 280 Update Interval - 15 seg",70,"loja,ecuador. estación meteorológica unl,temperatura,humedad,altitud"
65,5,3244898,Air Quality Project,mwa0000040315261,This project is created to measure the Air Quality near Sydney Area for Research.,70,"sydney,kings rd"
66,5,2758054,Carramar,mwa0000002740426,OCU heating unit monitoring,70,"optical,sensor,carramar"
67,5,3259015,Updated Channel Name,mwa0000040430446,Updated description,70,asdfsadf
68,5,3254668,impoz_meteo,mwa0000038786849,projecto de final de curso dos estudantes do impoz,70,"esp32,iot,weathervou"
69,5,3259358,GROUP-5,mwa0000040431571,CPS LAB,70,group5
70,5,3259323,ChayapatProject,mwa0000040431309,Esp8266 measurenent sensor.,70,"dht11,sensor"
71,5,3259226,Weather report,mwa0000040431156,Using ESP8266 mesureing sensor,70,"dht11,sensor"
72,5,3259212,Purim Wongpiriyapaitoon,mwa0000040431155,Esp8266 measurement sensor.,70,"dht11,sensor"
73,5,3259223,Weather Report,mwa0000040431168,Esp8266 measurment sensor.,70,"dhtll,sensor"
74,5,3259230,Weather report,mwa0000040431193,Esp8266 measurement sensor.,70,"dht11,sensor"
75,5,3259217,weather report,mwa0000040431190,Esp8266 measurement sensor,70,"dht11,sensor"
76,6,3259220,Weather Report,mwa0000040431187,Esp8266 measurment sensor.,70,"dht11,sensor"
77,6,3259222,Temperature and Humi...,mwa0000040431151,Esp8266 measurement sensor.,70,"dht11,sensor"
78,6,3259215,AAAA,mwa0000040431183,esp8266,70,dht11
79,6,3190427,6602013610037 Orient...,mwa0000030544936,-,70,pakpum iot agriculture
80,6,3190423,6602013611017_Orient...,mwa0000030533946,EMBEDDED SYS & IOT FOR AGRICULTURE,70,"mykmutnb_tni,agriculture"
81,6,3190425,6602013611076_Orient...,mwa0000030544524,EMBEDDED SYSTEM & IOT,70,mykmutnb_wrd_agriculture
82,6,3190419,6602013620148_Orient...,mwa0000030543943,6602013620148_Orientation,70,mykmutnb_spnp_agriculture
83,6,3258805,Weerawut11/2,mwa0000040429428,Esp8266DHT11,70,"14°52'24.6""n"
84,6,3258867,Sensor Fiona,mwa0000040429880,Suhu dan Kelembapan,70,"iot,dht11,suhu,kelembaban,wemos,kampus"
85,6,3228349,SENSOR SUHU SHERLY,mwa0000036248140,suhu dan kelembapan,70,"wemos,dht11,suhu,kelembapan,thingspeak"
86,6,3190422,Embedded Systems and...,mwa0000030578574,Embedded Systems and IoT for Agriculture,70,mykmutnb_atk agriculture
87,6,3221113,IOT PROJECT 1 (Aby),mwa0000035676579,Server,70,"iot,wemos,arduino"
88,6,1329419,Air Temperature Moni...,mwa0000021820973,Currently monitoring air temperatures in the garage. Planned additions for: greenhouse and garden (and 1 garden soil temperature). Hardware:  Metro M4 Airlift Lite and DS18B20s. Transport: WiFi.,70,cbwins
89,6,3087942,BeeLive_Bleibe,mwa0000038900856,"Update at: 5:00,9:00,12:00,20:00,23:55",70,"temperatur,luftfeuchtigkeit,gewicht,bleibe_volk_bravo"
90,6,3258292,Master of Light,mwa0000040363883,The one with the power to control the light controls what is seen... And what is not... !,70,masteroflight
91,7,1697981,Smart IoT 4,mwa0000024358098,This channel is prepared to use with SmartIoTBox,70,"smartiotlabs,four"
92,7,1538804,Data Channel,mwa0000024358098,This channel is prepared to use with Smart IoT DevKits identified by channel number. It operates with LoRa-TS protocol.,70,"one,smartiotlabs"
93,7,3211255,Termometer DS18B20,BeSt68,Termometer Ruang dengan Sensor DS18B20,70,"temeperatur,suhu,ds18b20,gading serpong,indonesia,banten"
94,7,2927027,EstacioPobleEstany,mwa0000037598790,Estació meteorològica pública a l'Estany,70,weather station estany
95,7,1976966,Yokosuka_Bragon,mwa0000028603669,Yokosuka Kugocho,70,yokosuka
96,7,3257633,ML-Powered Health & ...,mwa0000040418754,"IoT-based real-time health monitoring system that measures heart rate, SpO2,
estimated blood glucose, body temperature, and ECG using ESP32 and MAX30105.
Final readings are uploaded to ThingSpeak for visualization and analysis.",70,"iot,health monitoring,ml,esp32,max30105,spo2,heart rate,glucose,ecg"
97,7,3256963,11_ULFAH_RR2501P,mwa0000040403282,job 10,70,rr2501p
98,7,3256877,11_ULFAH_RR2501P,mwa0000040403282,JOB 10,70,rr2501p
99,7,3255229,10_shazia_RR2501P,mwa0000040403202,IOT job 10,70,rr2501p
100,7,2488488,Monitoreo Humedal #2,cadiazAIoTIcesi,"The IoT project proposes the use of Total Dissolved Solids (TDS) sensors to correlate biomass concentration in real time. The TDS sensor, integrated into the growing system, will continuously measure the conductivity of the growth medium.",70,monitoreo humedal #2
101,7,2488511,Monitoreo Humedal #3,cadiazAIoTIcesi,The IoT project proposes the use of Total Dissolved Solids (TDS) sensors.,70,tds device 04
102,7,3217110,HEHA Wellhouse,mwa0000017463963,Community wellhouse data,70,"wellhouse,heha"
103,7,3256481,Power,alejocd,Power and Energy Consumption for a typical small family in northern Baden-Württemberg,70,"power,energy,germany"
104,7,3255068,Seed Rack - 2,mwa0000029308378,This project monitors four DS18B20 temperature probes. The data is collected via an ESP8266 NodeMCU micro controller.,70,"nodemcu,esp8266,ds18b20,green house,miss amy,garden"
105,7,3230683,ESP-32-E Climate cha...,mwa0000040167889,Climate channel for ESP-32-E weather station,70,"weather station,temperature,wind speed,barometric pressure,humidity,light level"
106,8,3250940,TEST,mwa0000040367367,Měření a přenos teplot a poruchových stavů,70,"test,teplota,k1,tlak"
107,8,3255291,7_javier_rr2501P,mwa0000040403941,job 10,70,rr2501p
108,8,3255279,joel_10_rr2501p,mwa0000040403201,IoT job 10,70,rr2501p
109,8,3255277,sheena_rr2501p,mwa0000040403289,IOT job 10,70,rr2501p
110,8,3255280,izzan_RR2501N,mwa0000040403411,iot job 10,70,rr2501n
111,8,3255272,01_hasif_RR2501N,mwa0000040403329,iot job 10,70,rr2501n
112,8,3255228,08_shashinta_rr2501P,mwa0000040403208,Iot job 10,70,rr2501p
113,8,3255091,Index No_Name_Class,mwa0000040385864,Iot Jpb 10,70,rr2501p & n
114,8,3249207,IotProjetPolito,mwa0000031393326,Iot Fire detector IoT project Polito,70,iot
115,8,2047126,Small Hoop House,mwa0000029308378,This project monitors two DS18B20 temperature probes. The data is collected via an ESP8266 NodeMCU micro controller.,70,"nodemcu,esp8266,ds18b20,green house,miss amy,garden"
116,8,2431832,Seed Rack - 1,mwa0000029308378,This project monitors four DS18B20 temperature probes. The data is collected via an ESP8266 NodeMCU micro controller.,70,"nodemcu,esp8266,ds18b20,green house,miss amy,garden"
117,8,3254947,Solar Street Light,mwa0000034612816,IoT Smart Street Light with Solar,70,"iot,esp32,solar,streetlight"
118,8,2999085,CARDIAC,mwa0000038058078,Cara Monitoring Temperature dan Humidity Asyik dan Cepat,70,"cardiac,suhu,kelembaban,gudang,iot,monitoring,dht22"
119,8,1869829,ZDENĚK JEŽEK - KRB,osmoulaa,Zdenek jezek,70,"ošmera,zdenek ježek,čechočovice"
120,8,1178273,Home Diaz,mwa0000019880999,Estación Aldo Díaz - Arboledas,70,estación aldo diaz - querétaro
121,9,3245915,Ecowitt_Kralupy,mwa0000040323821,"Data from weather station Ecowitt.
Temperature/humidity: WH32, 
Pressure: WS3800, 
Solar radiation: WS68, 
Wind/rain: WS85 piezzo.",70,"ecowitt,kralupy,meteo,weatherstation"
122,9,378404,ESP8266 Experiments,lpikni,ESP8266 Sensor  Experiments,70,"lviv,esp8266,sensor,ikni"
123,9,3254588,Agronauts Monitor,mwa0000040313600,A monitor for the MKR 1010 as part of a competition focused on agricultural sustainability and advancements.,70,"#mkr1010,#arduino,#sensors #data #agriculture #iot #internet"
124,9,3250792,Piscina,mwa0000019880999,Temperatura de la piscina Anahuac - Aldo Díaz - Anáhuac Querétaro,70,"anáhuac_querétaro,aldo díaz,métodos_cuantitativos"
125,9,2886331,Boat Charging,mwa0000036247177,Monitors battery charging and voltages,70,"boat,batteries"
126,9,3252180,Gas Fire Temperature...,mwa0000029412915,"Temperature, Gas,Flame model",70,"arduino,esp8266,gas,temperature"
127,9,315163,Dragino LHT65,razibu,Lorawan Dragino LHT65,70,"lorawan,lora,thingspeak webhook,sht sensor,dallas sensor,ds18b20,dragino,battery,long range,thethingsnetwork."
128,9,612382,TX141-BV2 Open-Smart,razibu,La Crosse TX141-BV2 temperature sensor to ESP32 with 433Mhz Open-Smart module,70,"rf 433,la crosse,temperature,tx141-bv2,esp32,,open-smart module"
129,9,1480438,Détecteur C02,pjonin,Suivre le taux de CO2 (ainsi que la température et l'humidité),70,"co2,humidité"
130,9,2462989,Energy Production us...,mwa0000030577815,This Channel has been created by three Engineering Students from UCSI University in order to complete the Assignment for the Course of Data Communication & Networks under the supervision of Dr Chow Li Sze.,65,
131,9,3221689,HiRES,mwa0000040064823,HYBRID RENEWABLE ENERGIES APP,65,
132,9,3258138,under water communic...,mwa0000033209378,hhh,65,
133,9,3261021,Weather Report,mwa0000039638170,Measurement of Temperature and Humidity for IoT.,65,
134,9,3261048,weather report,mwa0000040443191,measurement temp and humidity for iot.,65,
135,9,3261031,Name,mwa0000040443138,Description:measurement of Temperature and Humidity for IoT.,65,
136,10,3261029,weather report,mwa0000040443191,measurement temp and humidity for iot.,65,
137,10,1617284,Temperature & Humidi...,mwa0000025119747,Temperature Sensor Data,65,
138,10,2975812,Elektribörs,MakaData,Börs ja muu,65,
139,10,3256057,INDEX,mwa0000040366872,STOCK,65,
140,10,2554924,Data Logging Vaksin ...,mwa0000022572822,"Data Pengukuran Waktu real, Suhu dan Kelembaban.",65,
141,10,1150092,Minerkeeper Beta Tes...,bitsfromitaly,Data taken from miner,65,
142,10,746915,"Kirkevika Camping, T...",mortennordby,"Live temperaturmåling ved paviljongen til Morten Nordby på Kirkevika Camping, 1954 Setskog",65,
143,10,1290706,B6230791 - Dew Point...,mwa0000020436300,วัดค่าอุณหภูมิจุดน้ำค้าง,50,
144,10,2593998,Sensor-Based Automat...,mwa0000033105018,"Supervisor for Robotics 2 
Computer Engineering assigned Project",50,
145,10,1204833,Dew Point Meaasurement,mwa0000020110814,Matlab Analysis,50,
146,10,1293588,Cozify-lämpö/kosteus...,mwa0000021374466,"Nexa + Telldus, Thermo/Hygrometer @ Klaukkala",50,
147,10,2532711,AIRQO_G5334,airqodata02,GEN 6 DEVICE WITH FOTA ENABLED,50,
148,10,2479801,node 2,mwa0000033446312,"humidity,and light intensity",50,
149,10,1388484,PruebaBeto,lauraorona98,Esto es una prueba,50,
150,10,2532699,AIRQO_G5332,airqodata02,GEN 6 DEVICE WITH FOTA ENABLED,50,
151,11,1282007,Dew Point Measurement,mwa0000020853996,Matlab Analysis,50,
152,11,2586773,Quinta do Pisão - SOLO,mwa0000034294307,"Sistema instalado em pomar jovem de maçã na Quinta do Pisão, no âmbito do projeto TEC4GREEN. 
Distribuição de dados --> H25, T25, CE25, H50, T50, CE50",50,
153,11,2586772,Quinta do Pisão - Es...,mwa0000034294307,"Sistema instalado em pomar jovem de maçã na Quinta do Pisão, no âmbito do projeto TEC4GREEN. 
Distribuição de dados --> PARc, Tair, Hair,WS,dirW,Rain,WL,vpd",50,
154,11,1921157,J IV,mwa0000026842781,J IV,50,
155,11,1457159,Control Raspberry LU...,mwa0000022777178,Control valores RPI y conexión a Internet de la repetidora LU3HGB-R YSF/C4FM,50,
156,11,1122872,J Mittaukset,mwa0000017265688,J Mittaukset,50,
157,11,914978,Dew point measurement,phyophyo22,Dew point test,50,
158,11,582158,Lämpötilat,vesala59,,50,tmp_out;tmp_kt;tmp_oh; hum_kt;hum_oh;tmp_mh;tmp_pakastin;tmp_kh
159,11,1260917,pendeteksi suhu rumah,mwa0000020641911,pendeteksi suhu rumah secara realtime,50,
160,11,1281997,Dew Point Measurement,mwa0000020854156,Matlab Analysis,50,
161,11,2884894,Dew Point Measurement,mwa0000037269515,Matlab analysis,50,
162,11,1448907,ESP32_TTGO_SCD40_01,mwa0000020835873,,50,"esp32,ds3231,scd40"
163,11,2857192,backup,mwa0000024257841,Data communication assignment,50,
164,11,689530,AIRQO-WB18 UNIT ACTIVE,airqodata02,"Pramukh steel, Jinja, operation offices",50,
165,11,2855668,Keller,mwa0000032045415,Melsdorf Keller,50,
166,12,689530,AIRQO-WB18 UNIT ACTIVE,airqodata02,"Pramukh steel, Jinja, operation offices",50,
167,12,2869548,Weather Analysis (Sh...,mwa0000029700406,Data Communication Jan'25 Assignment,50,
168,12,2436896,Node 1 by code,mwa0000033025422,"Temperature, soil moisture, analog voltage",50,
169,12,1285636,Dew point measurement,mwa0000021013650,Matlab Analysis,50,
170,12,1281980,Dew Point Measurement,mwa0000020853930,Matlab Analysis,50,
171,12,1022696,Raspi Temp Usage,mwa0000017790175,,50,"sgm,raspi"
172,12,816482,Dew Ppoint Measureme...,ofigaroa,Example Mathworks,50,
173,12,1297689,Dew Point Measurement,mwa0000021428122,Matlab analysi,50,
174,12,2087733,AirQo-G5177,airqodata02,St.dominic Bukna Sec. School,50,
175,12,746951,Weather Monitoring,softayoub,This IoT application will receive the data from external  device which has below parameters.,50,
176,12,1486060,Dew Point Measurement,mwa0000023603866,Matlab Analysis,50,
177,12,1780725,Lepola,mwa0000026842781,Lepola,50,
178,12,1247016,Dew Point Measurement,mwa0000020513312,Matlab Analysis,50,
179,12,1264952,RidhoPB,mwa0000020674932,Ridho Prawira Bahari - 6706184065 tugas praktikum pbs mod 10,50,
180,12,883876,Lämpötilat,laaaseri,Cozify dataa,50,
181,13,3097793,Test - Mesure du poi...,projetcpas,Ceci est un test dans l'optique de prendre en main Thingspeak et  d'émettre un test de faisabilité,50,
182,13,2434686,Weather Prediction,mwa0000032997204,analyzing the weather data,50,
183,13,641872,M6113506 - Dew Point...,nondevtech,Dew Point from weather station,50,
184,13,1351543,AIRQO-G510 UNIT ACTIVE,airqodata02,AirQo Generation 5 monitor Mpelerwe),50,
185,13,915251,Dew point exercise,phyophyo22,"Temp,Hum & Dew point",50,
186,13,1290037,AIRQO-G501 UNIT ACTIVE,airqodata02,"AirQo Generation 5 monitor,Makerere University",50,
187,13,1282005,DEW PONT MEASUREMENT,mwa0000020854172,ANAL,50,
188,13,2434652,Weather Management,mwa0000033008465,Analysing data,50,
189,13,1646224,Task2_VIT,mwa0000017045654,iot DA lab 2,50,
190,13,1247006,Dew Point Measurement,mwa0000020513329,Matlab Analysis,50,
191,13,2434677,Monitor Assign 1,mwa0000033008600,This app monitors the thing,50,
192,13,2076666,Dew Point Measurement,mwa0000029625531,MATLAB Analysis,50,
193,13,900128,Dew Point Test,mgmgthwin2012,Dew Point Measurement,50,
194,13,677768,Lämmöt ja kosteus,vmakela,,50,"cozify,automation,temperature,finland"
195,13,1380991,Dew Point Measurement,mwa0000022436917,Dew Point Measurement,50,
196,14,677768,Lämmöt ja kosteus,vmakela,,50,"cozify,automation,temperature,finland"
197,14,1380991,Dew Point Measurement,mwa0000022436917,Dew Point Measurement,50,
198,14,577136,Hämäläistentie lämmöt,toroti,Lämpötilat,50,
199,14,737276,AIRQO-WB39 UNIT ACTIVE,airqodata02,AIRQO UNIT with PMS5003 Lubaga Kabusu,50,
200,14,930426,AIRQO-71 UNIT ACTIVE,airqodata02,AirQo gen3 unit at Agenda wakiso,50,
201,14,1158576,Dew Point Measurement,mwa0000019696233,Matlab Analysis,50,
202,14,3000921,airqo_g5545,airqodata02,Bishop Stuart University Mbarara,50,
203,14,2401929,ESP32_TTGO_SCD40_03,mwa0000020835873,,50,"esp32,scd40"
204,14,1951151,Airqo_G5114,airqodata02,Layibi Techo Health Centre III,50,
205,14,1259177,Dew Point Measurement,mwa0000020630254,MATLAB Analysis,50,
206,14,1247015,Dew Point Measurement,mwa0000020513255,Matlab Analysis,50,
207,14,3236378,Storrady PM,mwa0000040228909,Air particulate matter levels in Storrady Office,50,
208,14,2033319,IoT_1,mwa0000019573476,IoT_CV_1_Description,50,
209,14,2665628,Node 1,mwa0000025664343,,50,"temperature,moisture,voltage"
210,14,828406,Torppafy,lastu72,Cozify channel for temperatures of home,50,
211,15,215043,Cozify,prunonen,This  is  for testing,50,
212,15,2111612,Práctica 2,mwa0000016011106,Práctica 2: Sistema de Ingeniería de la Información,50,
213,15,1259278,Dew Point Measurement,mwa0000020630219,Metlab Analysis,50,
214,15,1290041,AIRQO-G505 UNIT ACTIVE,airqodata02,"AirQo Generation 5 monitor Bukasa,kirinya",50,
215,15,1317609,Dew POINT MEASUREMENT,mwa0000021712522,Matlab Analysis,50,
216,15,2884892,Dew Point Measurement,mwa0000037269523,Matlab Analysis,50,
217,15,1380983,Dew Point Measurement,mwa0000022436905,Calculate Dew Point based on data from US weather station,50,
218,15,1281995,Dew Point Measurement,mwa0000020854122,Matlab Analysis,50,
219,15,1361942,Lämpötilat ulkona ja...,tidenberg,Lämpötilat ulkona ja kasvihuoneessa,50,
220,15,1276966,Ulkoilman lämpötila,jarskim,Ulkoilman lämpötila etuportaalla,50,
221,15,2366525,Dew Point Measurement,mwa0000027121379,Just learning,50,
222,15,2874829,airqo_g5455,airqodata02,Nyamityobora Health Center II,50,
223,15,1247010,Dew Point Measurement,mwa0000020513281,Matlab analysis,50,
224,15,755614,AIRQO-44 UNIT ACTIVE,airqodata02,"AIRQO UNIT with PMS5003 at The Surgery Naguru, Kampala",50,
225,15,1802399,Data Comm Assignment...,mwa0000017524090,IoT Analytic project,50,
226,16,689766,AIRQO-WB27 UNIT ACTIVE,airqodata02,"Pramukh steel, Jinja",50,
227,16,1417856,Air Pollution Monito...,mwa0000022829983,,50,air pollution monitoring system
228,16,1741916,Internet,mwa0000026564968,2022年度インターネット実践のWebアプリ作成用,50,
229,16,2442950,IOT-CSE,mwa0000033092783,IOT LAB WORKS,50,
230,16,1192541,BAM MUK,airqodata02,Bam Data collection channel @ Makerere university,50,
231,16,1375652,Dew Point Measurement,mwa0000020318204,Luke Mulholland (C20778135) Week 1 ThingSpeak,50,
232,16,1575532,AirQo_G537 Unit ACtive,airqodata02,AirQo Generation 5 monitor Busia,50,
233,16,1358288,Dew Point Measurement,mwa0000020318085,First Thing We Are Doing,50,
234,16,2342313,Analiza date,Andrei,Analizez datele istorice captate de la senzor,50,
235,16,1158575,Dew Point Measurement,mwa0000019696166,Matlab Analysis,50,
236,16,1069904,Dashboard,mwa0000017752288,Monitoring station,50,
237,16,1282019,Dew Point Measurement,mwa0000020854333,Matlab Analysis,50,
238,16,1281990,Dew Point Measurement,mwa0000020853974,Matlab Analysis,50,
239,16,1380982,Dew Point Measurement,mwa0000022436900,tra lala,50,
240,16,1682748,Dew Point Measurement,gwilkins,"This is an example, for ECG 695 Homework 4 (Undergrad Level)",50,
241,17,1275088,Ababuj - Cerrada del...,Jsoromom,V11.0,50,
242,17,1291216,Sam's wearable,sp38126,Matlab Analysis,50,
243,17,796638,Dew Point Measuremen...,choongck,US weather station 12397,50,
