N,Page,ID,Name,Author,Description,Tags,Sensors
52,4,3262504,KONTROL DAN MONITORI...,mwa0000037629377,"Sistem pengatur otomatis kipas angin berbasis ESP32 menggunakan metode Fuzzy Mamdani untuk pengambilan keputusan ON/OFF berdasarkan suhu dan aktivitas jamaah, serta monitoring data secara real-time melalui ThingSpeak.","['iot', 'esp32', 'fuzzy mamdani']",[]
53,4,3254360,WiFi GRR,mwa0000040260273,USE THE WIFI,['give me wifi'],[]
54,4,1027437,Heating and Hot Water,mwa0000017972110,Relative humidity and temperature,"['humidity', 'temperature', 'wabtub']","['temperature', 'temp', 'humidity']"
55,4,2502187,Octopus Agile,mwa0000023558498,"Agile (South Scotland) cost in pence.
Uploaded by agile2TS on 201","['agile octopus', 'octopus agile', 'south scotland']",['co']
56,4,386505,BatteryPredict24hours,cjstapels,Deep learning Time series prediction data,"['predict', 'predict battery', 'battery']",[]
57,4,460826,GRIN 460826,grin-mpx,BG,['bg'],[]
58,4,3243713,Great Projects,mwa0000040303019,часы Great Projects,"['temperature', 'humidity', 'quality']","['temperature', 'temp', 'humidity']"
59,4,2247490,farmer,mwa0000030854243,farmer,"['wufai', 'hydroponics']",[]
60,4,3260717,Sustainx,mwa0000040442357,iot based,"['sustainability', 'water pollution']",['water']
61,5,3258661,FistxPHT,tikuspithi,Monitor Suhu dan Ph air,"['ph', 'temperature', 'fistx', 'esp32']","['temperature', 'temp', 'ph']"
62,5,3260357,arduino,mwa0000040441153,ygyugrerg,['hsdcuie'],[]
63,5,2488471,Monitoreo Humedal #1,cadiazAIoTIcesi,"Proyecto IoT para monitoreo de calidad de agua.
Mide temperatura de agua, turbidez , TDS (ppm) y clima ( humedad y temperatura ambiente).
Envía datos cada intervalo 10 min  mediante red LTE
Desoliegue: bajo consumo, registro de red",['monitoreo humedal #1'],"['temp', 'co']"
64,5,2019582,Loja - Smart Air Sta...,mwa0000028957378,"Loja, Loja, Ecuador. Estación Meteorológica UNL (Temperatura, Humedad, Presión, Altitud). ESP32, BME 280 Update Interval - 15 seg","['loja', 'ecuador. estación meteorológica unl', 'temperatura', 'humedad', 'altitud']",['temp']
65,5,3244898,Air Quality Project,mwa0000040315261,This project is created to measure the Air Quality near Sydney Area for Research.,"['sydney', 'kings rd']",['air quality']
66,5,2758054,Carramar,mwa0000002740426,OCU heating unit monitoring,"['optical', 'sensor', 'carramar']",[]
67,5,3259015,Updated Channel Name,mwa0000040430446,Updated description,['asdfsadf'],[]
68,5,3254668,impoz_meteo,mwa0000038786849,projecto de final de curso dos estudantes do impoz,"['esp32', 'iot', 'weathervou']",[]
69,5,3259358,GROUP-5,mwa0000040431571,CPS LAB,['group5'],[]
70,5,3259323,ChayapatProject,mwa0000040431309,Esp8266 measurenent sensor.,"['dht11', 'sensor']",['dht11']
71,5,3259226,Weather report,mwa0000040431156,Using ESP8266 mesureing sensor,"['dht11', 'sensor']",['dht11']
72,5,3259212,Purim Wongpiriyapaitoon,mwa0000040431155,Esp8266 measurement sensor.,"['dht11', 'sensor']",['dht11']
73,5,3259223,Weather Report,mwa0000040431168,Esp8266 measurment sensor.,"['dhtll', 'sensor']",[]
74,5,3259230,Weather report,mwa0000040431193,Esp8266 measurement sensor.,"['dht11', 'sensor']",['dht11']
75,5,3259217,weather report,mwa0000040431190,Esp8266 measurement sensor,"['dht11', 'sensor']",['dht11']
76,6,3259220,Weather Report,mwa0000040431187,Esp8266 measurment sensor.,"['dht11', 'sensor']",['dht11']
77,6,3259222,Temperature and Humi...,mwa0000040431151,Esp8266 measurement sensor.,"['dht11', 'sensor']",['dht11']
78,6,3259215,AAAA,mwa0000040431183,esp8266,['dht11'],['dht11']
79,6,3190427,6602013610037 Orient...,mwa0000030544936,-,['pakpum iot agriculture'],[]
80,6,3190423,6602013611017_Orient...,mwa0000030533946,EMBEDDED SYS & IOT FOR AGRICULTURE,"['mykmutnb_tni', 'agriculture']",[]
81,6,3190425,6602013611076_Orient...,mwa0000030544524,EMBEDDED SYSTEM & IOT,['mykmutnb_wrd_agriculture'],[]
82,6,3190419,6602013620148_Orient...,mwa0000030543943,6602013620148_Orientation,['mykmutnb_spnp_agriculture'],[]
83,6,3258805,Weerawut11/2,mwa0000040429428,Esp8266DHT11,"['14°52\'24.6""n']",['dht11']
84,6,3258867,Sensor Fiona,mwa0000040429880,Suhu dan Kelembapan,"['iot', 'dht11', 'suhu', 'kelembaban', 'wemos', 'kampus']",['dht11']
85,6,3228349,SENSOR SUHU SHERLY,mwa0000036248140,suhu dan kelembapan,"['wemos', 'dht11', 'suhu', 'kelembapan', 'thingspeak']",['dht11']
86,6,3190422,Embedded Systems and...,mwa0000030578574,Embedded Systems and IoT for Agriculture,['mykmutnb_atk agriculture'],[]
87,6,3221113,IOT PROJECT 1 (Aby),mwa0000035676579,Server,"['iot', 'wemos', 'arduino']",[]
88,6,1329419,Air Temperature Moni...,mwa0000021820973,Currently monitoring air temperatures in the garage. Planned additions for: greenhouse and garden (and 1 garden soil temperature). Hardware:  Metro M4 Airlift Lite and DS18B20s. Transport: WiFi.,['cbwins'],"['temperature', 'temp', 'soil', 'current']"
89,6,3087942,BeeLive_Bleibe,mwa0000038900856,"Update at: 5:00,9:00,12:00,20:00,23:55","['temperatur', 'luftfeuchtigkeit', 'gewicht', 'bleibe_volk_bravo']",['temp']
90,6,3258292,Master of Light,mwa0000040363883,The one with the power to control the light controls what is seen... And what is not... !,['masteroflight'],"['co', 'light', 'power']"
91,7,1697981,Smart IoT 4,mwa0000024358098,This channel is prepared to use with SmartIoTBox,"['smartiotlabs', 'four']",[]
92,7,1538804,Data Channel,mwa0000024358098,This channel is prepared to use with Smart IoT DevKits identified by channel number. It operates with LoRa-TS protocol.,"['one', 'smartiotlabs']",['co']
93,7,3211255,Termometer DS18B20,BeSt68,Termometer Ruang dengan Sensor DS18B20,"['temeperatur', 'suhu', 'ds18b20', 'gading serpong', 'indonesia', 'banten']",[]
94,7,2927027,EstacioPobleEstany,mwa0000037598790,Estació meteorològica pública a l'Estany,['weather station estany'],[]
95,7,1976966,Yokosuka_Bragon,mwa0000028603669,Yokosuka Kugocho,['yokosuka'],[]
96,7,3257633,ML-Powered Health & ...,mwa0000040418754,"IoT-based real-time health monitoring system that measures heart rate, SpO2,
estimated blood glucose, body temperature, and ECG using ESP32 and MAX30105.
Final readings are uploaded to ThingSpeak for visualization and analysis.","['iot', 'health monitoring', 'ml', 'esp32', 'max30105', 'spo2', 'heart rate', 'glucose', 'ecg']","['temperature', 'temp', 'co']"
97,7,3256963,11_ULFAH_RR2501P,mwa0000040403282,job 10,['rr2501p'],[]
98,7,3256877,11_ULFAH_RR2501P,mwa0000040403282,JOB 10,['rr2501p'],[]
99,7,3255229,10_shazia_RR2501P,mwa0000040403202,IOT job 10,['rr2501p'],[]
100,7,2488488,Monitoreo Humedal #2,cadiazAIoTIcesi,"The IoT project proposes the use of Total Dissolved Solids (TDS) sensors to correlate biomass concentration in real time. The TDS sensor, integrated into the growing system, will continuously measure the conductivity of the growth medium.",['monitoreo humedal #2'],['co']
101,7,2488511,Monitoreo Humedal #3,cadiazAIoTIcesi,The IoT project proposes the use of Total Dissolved Solids (TDS) sensors.,['tds device 04'],[]
102,7,3217110,HEHA Wellhouse,mwa0000017463963,Community wellhouse data,"['wellhouse', 'heha']",['co']
103,7,3256481,Power,alejocd,Power and Energy Consumption for a typical small family in northern Baden-Württemberg,"['power', 'energy', 'germany']","['co', 'power', 'energy']"
104,7,3255068,Seed Rack - 2,mwa0000029308378,This project monitors four DS18B20 temperature probes. The data is collected via an ESP8266 NodeMCU micro controller.,"['nodemcu', 'esp8266', 'ds18b20', 'green house', 'miss amy', 'garden']","['temperature', 'temp', 'co', 'mic']"
105,7,3230683,ESP-32-E Climate cha...,mwa0000040167889,Climate channel for ESP-32-E weather station,"['weather station', 'temperature', 'wind speed', 'barometric pressure', 'humidity', 'light level']","['temperature', 'temp', 'humidity', 'pressure', 'light']"
106,8,3250940,TEST,mwa0000040367367,Měření a přenos teplot a poruchových stavů,"['test', 'teplota', 'k1', 'tlak']",[]
107,8,3255291,7_javier_rr2501P,mwa0000040403941,job 10,['rr2501p'],[]
108,8,3255279,joel_10_rr2501p,mwa0000040403201,IoT job 10,['rr2501p'],[]
109,8,3255277,sheena_rr2501p,mwa0000040403289,IOT job 10,['rr2501p'],[]
110,8,3255280,izzan_RR2501N,mwa0000040403411,iot job 10,['rr2501n'],[]
111,8,3255272,01_hasif_RR2501N,mwa0000040403329,iot job 10,['rr2501n'],[]
112,8,3255228,08_shashinta_rr2501P,mwa0000040403208,Iot job 10,['rr2501p'],[]
113,8,3255091,Index No_Name_Class,mwa0000040385864,Iot Jpb 10,['rr2501p & n'],[]
114,8,3249207,IotProjetPolito,mwa0000031393326,Iot Fire detector IoT project Polito,['iot'],['fire']
115,8,2047126,Small Hoop House,mwa0000029308378,This project monitors two DS18B20 temperature probes. The data is collected via an ESP8266 NodeMCU micro controller.,"['nodemcu', 'esp8266', 'ds18b20', 'green house', 'miss amy', 'garden']","['temperature', 'temp', 'co', 'mic']"
116,8,2431832,Seed Rack - 1,mwa0000029308378,This project monitors four DS18B20 temperature probes. The data is collected via an ESP8266 NodeMCU micro controller.,"['nodemcu', 'esp8266', 'ds18b20', 'green house', 'miss amy', 'garden']","['temperature', 'temp', 'co', 'mic']"
117,8,3254947,Solar Street Light,mwa0000034612816,IoT Smart Street Light with Solar,"['iot', 'esp32', 'solar', 'streetlight']",['light']
118,8,2999085,CARDIAC,mwa0000038058078,Cara Monitoring Temperature dan Humidity Asyik dan Cepat,"['cardiac', 'suhu', 'kelembaban', 'gudang', 'iot', 'monitoring', 'dht22']","['temperature', 'temp', 'humidity', 'dht22']"
119,8,1869829,ZDENĚK JEŽEK - KRB,osmoulaa,Zdenek jezek,"['ošmera', 'zdenek ježek', 'čechočovice']",[]
120,8,1178273,Home Diaz,mwa0000019880999,Estación Aldo Díaz - Arboledas,['estación aldo diaz - querétaro'],[]
121,9,3245915,Ecowitt_Kralupy,mwa0000040323821,"Data from weather station Ecowitt.
Temperature/humidity: WH32, 
Pressure: WS3800, 
Solar radiation: WS68, 
Wind/rain: WS85 piezzo.","['ecowitt', 'kralupy', 'meteo', 'weatherstation']","['temperature', 'temp', 'humidity', 'pressure', 'rain', 'co']"
122,9,378404,ESP8266 Experiments,lpikni,ESP8266 Sensor  Experiments,"['lviv', 'esp8266', 'sensor', 'ikni']",[]
123,9,3254588,Agronauts Monitor,mwa0000040313600,A monitor for the MKR 1010 as part of a competition focused on agricultural sustainability and advancements.,"['#mkr1010', '#arduino', '#sensors #data #agriculture #iot #internet']",['co']
124,9,3250792,Piscina,mwa0000019880999,Temperatura de la piscina Anahuac - Aldo Díaz - Anáhuac Querétaro,"['anáhuac_querétaro', 'aldo díaz', 'métodos_cuantitativos']",['temp']
125,9,2886331,Boat Charging,mwa0000036247177,Monitors battery charging and voltages,"['boat', 'batteries']",['voltage']
126,9,3252180,Gas Fire Temperature...,mwa0000029412915,"Temperature, Gas,Flame model","['arduino', 'esp8266', 'gas', 'temperature']","['temperature', 'temp', 'gas']"
127,9,315163,Dragino LHT65,razibu,Lorawan Dragino LHT65,"['lorawan', 'lora', 'thingspeak webhook', 'sht sensor', 'dallas sensor', 'ds18b20', 'dragino', 'battery', 'long range', 'thethingsnetwork.']",[]
128,9,612382,TX141-BV2 Open-Smart,razibu,La Crosse TX141-BV2 temperature sensor to ESP32 with 433Mhz Open-Smart module,"['rf 433', 'la crosse', 'temperature', 'tx141-bv2', 'esp32', '', 'open-smart module']","['temperature', 'temp', 'temperature sensor']"
129,9,1480438,Détecteur C02,pjonin,Suivre le taux de CO2 (ainsi que la température et l'humidité),"['co2', 'humidité']","['temp', 'co2', 'co']"
130,9,2462989,Energy Production us...,mwa0000030577815,This Channel has been created by three Engineering Students from UCSI University in order to complete the Assignment for the Course of Data Communication & Networks under the supervision of Dr Chow Li Sze.,[],['co']
131,9,3221689,HiRES,mwa0000040064823,HYBRID RENEWABLE ENERGIES APP,[],[]
132,9,3258138,under water communic...,mwa0000033209378,hhh,[],[]
133,9,3261021,Weather Report,mwa0000039638170,Measurement of Temperature and Humidity for IoT.,[],"['temperature', 'temp', 'humidity']"
134,9,3261048,weather report,mwa0000040443191,measurement temp and humidity for iot.,[],"['temp', 'humidity']"
135,9,3261031,Name,mwa0000040443138,Description:measurement of Temperature and Humidity for IoT.,[],"['temperature', 'temp', 'humidity']"
136,10,3261029,weather report,mwa0000040443191,measurement temp and humidity for iot.,[],"['temp', 'humidity']"
137,10,1617284,Temperature & Humidi...,mwa0000025119747,Temperature Sensor Data,[],"['temperature', 'temp', 'temperature sensor']"
138,10,2975812,Elektribörs,MakaData,Börs ja muu,[],[]
139,10,3256057,INDEX,mwa0000040366872,STOCK,[],[]
140,10,2554924,Data Logging Vaksin ...,mwa0000022572822,"Data Pengukuran Waktu real, Suhu dan Kelembaban.",[],[]
141,10,1150092,Minerkeeper Beta Tes...,bitsfromitaly,Data taken from miner,[],[]
142,10,746915,"Kirkevika Camping, T...",mortennordby,"Live temperaturmåling ved paviljongen til Morten Nordby på Kirkevika Camping, 1954 Setskog",[],['temp']
143,10,1158574,Dew Point Measurement,mwa0000019696128,Matlab Analysis,[],[]
144,10,1259171,Station 01,mwa0000020558199,Matlab Analysis,[],[]
145,10,930433,AIRQO-78 UNIT ACTIVE,airqodata02,AirQo unit with Dual PMS5003 sensors,[],[]
146,10,582158,Lämpötilat,vesala59,,['tmp_out;tmp_kt;tmp_oh; hum_kt;hum_oh;tmp_mh;tmp_pakastin;tmp_kh'],[]
147,10,1104690,weather channel,mwa0000019062753,WEATHER PARAMETER ANALYSIS,[],[]
148,10,2464495,Smart Electricity Mo...,mwa0000030705680,Data taken from channel 1535887,[],[]
149,10,1295802,SoundAndLight,furryinteractive,Channel showing charts related to sound and light sensor,[],"['light', 'sound']"
150,10,2434652,Weather Management,mwa0000033008465,Analysing data,[],[]
151,11,2401929,ESP32_TTGO_SCD40_03,mwa0000020835873,,"['esp32', 'scd40']",[]
152,11,2547016,srinath,mwa0000033453096,ss,[],[]
153,11,2977941,Stats,LN90009,statistics,[],[]
154,11,1014437,Testing,mwa0000017755613,test MQTT,[],[]
155,11,813014,Air control,vitalym39,Air control,[],['co']
156,11,1204833,Dew Point Meaasurement,mwa0000020110814,Matlab Analysis,[],[]
157,11,1282005,DEW PONT MEASUREMENT,mwa0000020854172,ANAL,[],[]
158,11,2855668,Keller,mwa0000032045415,Melsdorf Keller,[],[]
159,11,1780725,Lepola,mwa0000026842781,Lepola,[],[]
160,11,1676950,Weather quality meas...,mwa0000025936477,"It is about measuring the quality of the weather, and comparing this measurement to the pollutant's air quality guideline or standard.",[],"['co', 'air quality']"
161,11,1122872,J Mittaukset,mwa0000017265688,J Mittaukset,[],[]
162,11,1646224,Task2_VIT,mwa0000017045654,iot DA lab 2,[],[]
163,11,1247006,Dew Point Measurement,mwa0000020513329,Matlab Analysis,[],[]
164,11,2398760,ESP32_TTGO_SCD40_02,mwa0000020835873,,"['esp32', 'scd40']",[]
165,11,2907993,應研感潮河段 PET - Temp,mwa0000029068820,應研感潮河段 PET - Temp,[],['temp']
166,12,2434677,Monitor Assign 1,mwa0000033008600,This app monitors the thing,[],[]
167,12,2907990,應研感潮河段 PET - EC,mwa0000029068820,應研感潮河段 PET - EC,[],[]
168,12,2076666,Dew Point Measurement,mwa0000029625531,MATLAB Analysis,[],[]
169,12,2907984,應研感潮河段 PET - pH,mwa0000029068820,應研感潮河段 PET - pH,[],['ph']
170,12,2436916,Weather Monitoring,mwa0000033028797,Team Blaze,[],[]
171,12,1668300,Data collection from...,mwa0000020571351,"All data is from the channel: 333831
Based on the data collected, we are here to represent the total cost that saved when solar panel is installed.",[],['co']
172,12,1457159,Control Raspberry LU...,mwa0000022777178,Control valores RPI y conexión a Internet de la repetidora LU3HGB-R YSF/C4FM,[],['co']
173,12,883876,Lämpötilat,laaaseri,Cozify dataa,[],['co']
174,12,2665628,Node 1,mwa0000025664343,,"['temperature', 'moisture', 'voltage']","['temperature', 'temp', 'moisture', 'voltage']"
175,12,900128,Dew Point Test,mgmgthwin2012,Dew Point Measurement,[],[]
176,12,915251,Dew point exercise,phyophyo22,"Temp,Hum & Dew point",[],['temp']
177,12,1380991,Dew Point Measurement,mwa0000022436917,Dew Point Measurement,[],[]
178,12,1921157,J IV,mwa0000026842781,J IV,[],[]
179,12,2436896,Node 1 by code,mwa0000033025422,"Temperature, soil moisture, analog voltage",[],"['temperature', 'temp', 'soil', 'soil moisture', 'moisture', 'voltage']"
180,12,1265300,Praktikum PBS Modul 10,mwa0000020659693,Putri Shalsabilla Azzahra - 6706184038,[],[]
181,13,1158576,Dew Point Measurement,mwa0000019696233,Matlab Analysis,[],[]
182,13,1247015,Dew Point Measurement,mwa0000020513255,Matlab Analysis,[],[]
183,13,1259177,Dew Point Measurement,mwa0000020630254,MATLAB Analysis,[],[]
184,13,1259278,Dew Point Measurement,mwa0000020630219,Metlab Analysis,[],[]
185,13,1317609,Dew POINT MEASUREMENT,mwa0000021712522,Matlab Analysis,[],[]
186,13,2884892,Dew Point Measurement,mwa0000037269523,Matlab Analysis,[],[]
187,13,1380983,Dew Point Measurement,mwa0000022436905,Calculate Dew Point based on data from US weather station,[],[]
188,13,2539231,AIRQO_G5345,airqodata02,GEN 6 DEVICE WITH FOTA ENABLED,[],[]
189,13,1669723,Air Quality (Germany),mwa0000025842364,D&C Assignment,[],[]
190,13,1281995,Dew Point Measurement,mwa0000020854122,Matlab Analysis,[],[]
191,13,577136,Hämäläistentie lämmöt,toroti,Lämpötilat,[],[]
192,13,2232307,Tide gauge Arrota - ...,mwa0000030698163,,"['tide', 'portugal', 'ultrasonic', 'water level']","['water', 'water level', 'ultrasonic', 'ultrasonic']"
193,13,1022696,Raspi Temp Usage,mwa0000017790175,,"['sgm', 'raspi']",[]
194,13,561349,Attic immersion,nostrebor,domestic hot water,[],['water']
195,13,1448907,ESP32_TTGO_SCD40_01,mwa0000020835873,,"['esp32', 'ds3231', 'scd40']",[]
196,14,1281997,Dew Point Measurement,mwa0000020854156,Matlab Analysis,[],[]
197,14,2884894,Dew Point Measurement,mwa0000037269515,Matlab analysis,[],[]
198,14,2857192,backup,mwa0000024257841,Data communication assignment,[],['co']
199,14,1358286,Dew Point Measurement,mwa0000020318283,First test of making a new channel,[],[]
200,14,1285636,Dew point measurement,mwa0000021013650,Matlab Analysis,[],[]
201,14,2435130,Weather Prediction,mwa0000033010775,Data Analyzing,[],[]
202,14,1281980,Dew Point Measurement,mwa0000020853930,Matlab Analysis,[],[]
203,14,1003800,Dew Point Measurement,mwa0000017654337,Coming from Matlab head quarters,[],['co']
204,14,2539226,AIRQO_G5342,airqodata02,GEN 6 DEVICE WITH FOTA ENABLED,[],[]
205,14,1297689,Dew Point Measurement,mwa0000021428122,Matlab analysi,[],[]
206,14,746951,Weather Monitoring,softayoub,This IoT application will receive the data from external  device which has below parameters.,[],[]
207,14,1486060,Dew Point Measurement,mwa0000023603866,Matlab Analysis,[],[]
208,14,1247016,Dew Point Measurement,mwa0000020513312,Matlab Analysis,[],[]
209,14,2084599,AirQo-G5164,airqodata02,Air quality monitor for kisumu county hospital,[],"['co', 'air quality']"
